query,label
Created a data pipeline for real-time analytics for banking transactions.,projects
Created a data pipeline for real-time analytics for customer service automation.,projects
Built a data pipeline for real-time analytics for healthcare.,projects
Developed an data pipeline for real-time analytics.,projects
Developed a cloud-based file storage system system.,projects
Developed an IoT-based home automation system.,projects
Developed an CI/CD automation platform.,projects
Led the development of fraud detection system.,projects
Led the development of data pipeline for real-time analytics.,projects
Designed and implemented a voice-controlled personal assistant.,projects
Designed and implemented a e-commerce website.,projects
Built a chatbot for customer service automation using Docker.,projects
Led the development of data pipeline for real-time analytics.,projects
Designed and implemented a cloud-based file storage system.,projects
Developed an chatbot for customer service automation.,projects
Built a cloud-based file storage system for manufacturing.,projects
Developed a fraud detection system system.,projects
Created a IoT-based home automation system for security monitoring.,projects
Led the development of fraud detection system.,projects
Led the development of cloud-based file storage system.,projects
Developed an cloud-based file storage system.,projects
Designed and implemented a CI/CD automation platform.,projects
Created a cloud-based file storage system for customer service automation.,projects
Built a chatbot for customer service automation for technology.,projects
Led the development of CI/CD automation platform.,projects
Built a e-commerce website using Node.js.,projects
Developed an cloud-based file storage system.,projects
Created a IoT-based home automation system for process automation.,projects
Created a voice-controlled personal assistant for data analysis.,projects
Built a IoT-based home automation system using PyTorch.,projects
Designed and implemented a voice-controlled personal assistant.,projects
Led the development of CI/CD automation platform.,projects
Built a data pipeline for real-time analytics for financial.,projects
Developed an CI/CD automation platform.,projects
Led the development of e-commerce website.,projects
Led the development of chatbot for customer service automation.,projects
Built a e-commerce website for manufacturing.,projects
Built a fraud detection system using Docker.,projects
Designed and implemented a voice-controlled personal assistant.,projects
Designed and implemented a voice-controlled personal assistant.,projects
Built a chatbot for customer service automation using Angular.,projects
Developed an IoT-based home automation system.,projects
Led the development of cloud-based file storage system.,projects
Built a data pipeline for real-time analytics for manufacturing.,projects
Built a voice-controlled personal assistant for technology.,projects
Designed and implemented a chatbot for customer service automation.,projects
Created a chatbot for customer service automation for banking transactions.,projects
Developed a cloud-based file storage system system.,projects
Developed an cloud-based file storage system.,projects
Built a chatbot for customer service automation using AWS.,projects
Created a voice-controlled personal assistant for data analysis.,projects
Developed an fraud detection system.,projects
Led the development of cloud-based file storage system.,projects
Built a CI/CD automation platform for financial.,projects
Created a fraud detection system for data analysis.,projects
Built a cloud-based file storage system for manufacturing.,projects
Led the development of voice-controlled personal assistant.,projects
Created a e-commerce website for process automation.,projects
Developed a cloud-based file storage system system.,projects
Designed and implemented a chatbot for customer service automation.,projects
Built a CI/CD automation platform for retail.,projects
Created a e-commerce website for data analysis.,projects
Built a IoT-based home automation system using PostgreSQL.,projects
Developed a cloud-based file storage system system.,projects
Created a IoT-based home automation system for data analysis.,projects
Built a IoT-based home automation system using Django.,projects
Created a e-commerce website for customer service automation.,projects
Led the development of chatbot for customer service automation.,projects
Developed an IoT-based home automation system.,projects
Designed and implemented a fraud detection system.,projects
Created a e-commerce website for banking transactions.,projects
Developed a IoT-based home automation system system.,projects
Built a fraud detection system for financial.,projects
Developed an cloud-based file storage system.,projects
Created a IoT-based home automation system for process automation.,projects
Developed an cloud-based file storage system.,projects
Built a voice-controlled personal assistant for financial.,projects
Developed an chatbot for customer service automation.,projects
Created a CI/CD automation platform for process automation.,projects
Created a CI/CD automation platform for process automation.,projects
Developed a CI/CD automation platform system.,projects
Developed a CI/CD automation platform system.,projects
Built a cloud-based file storage system using Docker.,projects
